Pokemon{id=63, name='Abra', type1='Psychic', type2='', total=310, hp=25, attack=20, defense=15, specialAttack=105, specialDefense=55, speed=90, generation=1, isLegendary=false}
Pokemon{id=65, name='Alakazam', type1='Psychic', type2='', total=500, hp=55, attack=50, defense=45, specialAttack=135, specialDefense=95, speed=120, generation=1, isLegendary=false}
Pokemon{id=65, name='AlakazamMega Alakazam', type1='Psychic', type2='', total=590, hp=55, attack=50, defense=65, specialAttack=175, specialDefense=95, speed=150, generation=1, isLegendary=false}
Pokemon{id=24, name='Arbok', type1='Poison', type2='', total=438, hp=60, attack=85, defense=69, specialAttack=65, specialDefense=79, speed=80, generation=1, isLegendary=false}
Pokemon{id=59, name='Arcanine', type1='Fire', type2='', total=555, hp=90, attack=110, defense=80, specialAttack=100, specialDefense=80, speed=95, generation=1, isLegendary=false}
Pokemon{id=15, name='Beedrill', type1='Bug', type2='Poison', total=395, hp=65, attack=90, defense=40, specialAttack=45, specialDefense=80, speed=75, generation=1, isLegendary=false}
Pokemon{id=15, name='BeedrillMega Beedrill', type1='Bug', type2='Poison', total=495, hp=65, attack=150, defense=40, specialAttack=15, specialDefense=80, speed=145, generation=1, isLegendary=false}
Pokemon{id=69, name='Bellsprout', type1='Grass', type2='Poison', total=300, hp=50, attack=75, defense=35, specialAttack=70, specialDefense=30, speed=40, generation=1, isLegendary=false}
Pokemon{id=9, name='Blastoise', type1='Water', type2='', total=530, hp=79, attack=83, defense=100, specialAttack=85, specialDefense=105, speed=78, generation=1, isLegendary=false}
Pokemon{id=9, name='BlastoiseMega Blastoise', type1='Water', type2='', total=630, hp=79, attack=103, defense=120, specialAttack=135, specialDefense=115, speed=78, generation=1, isLegendary=false}
Pokemon{id=12, name='Butterfree', type1='Bug', type2='Flying', total=395, hp=60, attack=45, defense=50, specialAttack=90, specialDefense=80, speed=70, generation=1, isLegendary=false}
Pokemon{id=10, name='Caterpie', type1='Bug', type2='', total=195, hp=45, attack=30, defense=35, specialAttack=20, specialDefense=20, speed=45, generation=1, isLegendary=false}
Pokemon{id=6, name='Charizard', type1='Fire', type2='Flying', total=534, hp=78, attack=84, defense=78, specialAttack=109, specialDefense=85, speed=100, generation=1, isLegendary=false}
Pokemon{id=6, name='CharizardMega Charizard X', type1='Fire', type2='Dragon', total=634, hp=78, attack=130, defense=111, specialAttack=130, specialDefense=85, speed=100, generation=1, isLegendary=false}
Pokemon{id=6, name='CharizardMega Charizard Y', type1='Fire', type2='Flying', total=634, hp=78, attack=104, defense=78, specialAttack=159, specialDefense=115, speed=100, generation=1, isLegendary=false}
Pokemon{id=4, name='Charmander', type1='Fire', type2='', total=309, hp=39, attack=52, defense=43, specialAttack=60, specialDefense=50, speed=65, generation=1, isLegendary=false}
Pokemon{id=5, name='Charmeleon', type1='Fire', type2='', total=405, hp=58, attack=64, defense=58, specialAttack=80, specialDefense=65, speed=80, generation=1, isLegendary=false}
Pokemon{id=36, name='Clefable', type1='Fairy', type2='', total=483, hp=95, attack=70, defense=73, specialAttack=95, specialDefense=90, speed=60, generation=1, isLegendary=false}
Pokemon{id=35, name='Clefairy', type1='Fairy', type2='', total=323, hp=70, attack=45, defense=48, specialAttack=60, specialDefense=65, speed=35, generation=1, isLegendary=false}
Pokemon{id=91, name='Cloyster', type1='Water', type2='Ice', total=525, hp=50, attack=95, defense=180, specialAttack=85, specialDefense=45, speed=70, generation=1, isLegendary=false}
Pokemon{id=87, name='Dewgong', type1='Water', type2='Ice', total=475, hp=90, attack=70, defense=80, specialAttack=70, specialDefense=95, speed=70, generation=1, isLegendary=false}
Pokemon{id=50, name='Diglett', type1='Ground', type2='', total=265, hp=10, attack=55, defense=25, specialAttack=35, specialDefense=45, speed=95, generation=1, isLegendary=false}
Pokemon{id=85, name='Dodrio', type1='Normal', type2='Flying', total=460, hp=60, attack=110, defense=70, specialAttack=60, specialDefense=60, speed=100, generation=1, isLegendary=false}
Pokemon{id=84, name='Doduo', type1='Normal', type2='Flying', total=310, hp=35, attack=85, defense=45, specialAttack=35, specialDefense=35, speed=75, generation=1, isLegendary=false}
